--------------
C:\Users\mcmar\source\repos\betting\Betting\bin\Release>Betting.exe -u -e --league=Championship -y=2018 -r=9 > ..\..\..\OutputData\dataII1Championship.txt
--------------


 R2 values  1 0.69, X 0.50, 2 0.20 metric 2516 

 R2 values  1 0.69, X 0.73, 2 0.14 metric 5019 

 R2 values  1 0.72, X 0.86, 2 0.09 metric 34 

 R2 values  1 0.47, X 0.26, 2 0.16 metric 7516 

 R2 values  1 0.49, X 0.36, 2 0.28 metric 2517 

 R2 values  1 0.80, X 0.81, 2 0.09 metric 5020 

 R2 values  1 0.67, X 0.82, 2 0.02 metric 35 

 R2 values  1 0.64, X 0.69, 2 0.04 metric 49 

 R2 values  1 0.64, X 0.40, 2 0.20 metric 7517 

 R2 values  1 0.69, X 0.87, 2 0.01 metric 36 

 R2 values  1 0.53, X 0.87, 2 0.19 metric 50 

 R2 values  1 0.80, X 0.86, 2 0.06 metric 5021 

 R2 values  1 0.79, X 0.83, 2 0.04 metric 37 

 R2 values  1 0.57, X 0.37, 2 0.12 metric 2518 

 R2 values  1 0.53, X 0.82, 2 0.25 metric 51 

 R2 values  1 0.60, X 0.30, 2 0.19 metric 7518 

 R2 values  1 0.84, X 0.77, 2 0.08 metric 5022 

 R2 values  1 0.74, X 0.85, 2 0.10 metric 52 

 R2 values  1 0.60, X 0.53, 2 0.19 metric 2519 

 R2 values  1 0.66, X 0.44, 2 0.18 metric 7519 

 R2 values  1 0.80, X 0.70, 2 0.08 metric 38 

 R2 values  1 0.57, X 0.71, 2 0.01 metric 53 

 R2 values  1 0.76, X 0.70, 2 0.07 metric 5023 

 R2 values  1 0.81, X 0.61, 2 0.26 metric 7520 

 R2 values  1 0.70, X 0.79, 2 0.07 metric 2520 

 R2 values  1 0.72, X 0.74, 2 0.01 metric 39 

 R2 values  1 0.75, X 0.84, 2 0.02 metric 54 

 R2 values  1 0.82, X 0.79, 2 0.12 metric 5024 

 R2 values  1 0.39, X 0.25, 2 0.50 metric 40 

 R2 values  1 0.62, X 0.45, 2 0.22 metric 7521 

 R2 values  1 0.68, X 0.70, 2 0.08 metric 55 

 R2 values  1 0.72, X 0.85, 2 0.10 metric 5025 

 R2 values  1 0.28, X 0.65, 2 0.13 metric 41 

 R2 values  1 0.70, X 0.73, 2 0.09 metric 56 

 R2 values  1 0.66, X 0.44, 2 0.23 metric 7522 

 R2 values  1 0.68, X 0.75, 2 0.06 metric 2521 

 R2 values  1 0.79, X 0.69, 2 0.04 metric 5026 

 R2 values  1 0.87, X 0.87, 2 0.04 metric 42 

 R2 values  1 0.61, X 0.76, 2 0.07 metric 57 

 R2 values  1 0.83, X 0.88, 2 0.06 metric 43 

 R2 values  1 0.71, X 0.59, 2 0.18 metric 58 

 R2 values  1 0.73, X 0.68, 2 0.03 metric 2522 

 R2 values  1 0.52, X 0.39, 2 0.18 metric 7523 

 R2 values  1 0.68, X 0.64, 2 0.11 metric 5027 

 R2 values  1 0.58, X 0.85, 2 0.09 metric 60 

 R2 values  1 0.77, X 0.72, 2 0.13 metric 59 

 R2 values  1 0.66, X 0.52, 2 0.02 metric 2523 

 R2 values  1 0.58, X 0.58, 2 0.07 metric 5028 

 R2 values  1 0.57, X 0.34, 2 0.29 metric 7524 

 R2 values  1 0.69, X 0.81, 2 0.02 metric 61 

