YEAR,HWPCT,AWPCT,DPCT
2018,0.42,0.29,0.29
2017,0.42,0.29,0.29
2016,0.45,0.29,0.26
2015,0.42,0.28,0.30
2014,0.42,0.32,0.27
2013,0.41,0.29,0.30
2012,0.42,0.29,0.28
2011,0.46,0.30,0.25
2010,0.49,0.23,0.28
