YEAR,HWPCT,AWPCT,DPCT
2018,0.48,0.23,0.28
2017,0.45,0.30,0.25
2016,0.48,0.28,0.24
2015,0.45,0.27,0.29
2014,0.54,0.24,0.23
2013,0.56,0.23,0.22
2012,0.48,0.26,0.26
2011,0.49,0.23,0.28
2010,0.46,0.27,0.27
