YEAR,HWPCT,AWPCT,DPCT
2018,0.45,0.27,0.27
2017,0.45,0.27,0.27
2016,0.49,0.24,0.27
2015,0.44,0.23,0.33
2014,0.47,0.27,0.26
2013,0.47,0.21,0.32
2012,0.42,0.25,0.32
2011,0.45,0.26,0.29
2010,0.46,0.21,0.33
