YEAR,HWPCT,AWPCT,DPCT
2018,0.45,0.25,0.30
2017,0.43,0.28,0.30
2016,0.50,0.25,0.25
2015,0.48,0.25,0.28
2014,0.44,0.25,0.31
2013,0.48,0.24,0.28
2012,0.43,0.25,0.33
2011,0.50,0.27,0.23
2010,0.48,0.26,0.26
