Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,HPTS,APTS,HPL,APL,FOH,FOD,FOA
E1,07/08/10,Reading,Scunthorpe,1,2,A,1,1,D,F Graham,17,11,5,5,4,10,9,4,0,2,0,0,1.5,4,7,1.55,3.5,5.5,1.57,3.5,6,1.55,3.5,4.8,1.57,3.6,6.5,1.53,3.6,5.75,1.5,3.6,5.5,1.53,3.75,6,1.5,4,7,1.57,3.6,6.5,37,1.57,1.53,4.18,3.71,7.05,6.31,34,1.87,1.8,2.05,1.94,17,0,1.22,1.16,5.46,4.64,0,0,0,0,2.40,3.38,3.48
E1,08/08/10,Cardiff,Sheffield United,1,1,D,0,1,A,P Walton,11,3,7,2,11,7,11,4,1,2,0,1,2.1,3.25,3.6,1.95,3.3,3.35,2,3.25,3.5,2,3.2,3.1,2.1,3.3,3.5,2.05,3.25,3.25,1.95,3.3,3.2,2.1,3.4,3.25,2.15,3.3,3.5,2.15,3.25,3.4,36,2.15,2.05,3.4,3.26,3.8,3.48,33,2.11,2.02,1.84,1.74,18,0,1.55,1.47,2.65,2.53,0,0,0,0,2.40,3.38,3.48
E1,14/08/10,Barnsley,Crystal Palace,1,0,H,1,0,H,N Swarbrick,6,10,2,2,18,11,6,3,3,2,0,0,2.6,3.2,2.75,2.4,3.2,2.6,2.5,3.25,2.6,2.45,3.1,2.45,2.5,3.3,2.8,2.35,3.25,2.7,2.5,3.25,2.8,2.4,3.25,2.8,2.5,3.2,2.88,2.4,3.25,2.9,37,2.62,2.46,3.3,3.21,3,2.76,29,2.33,2.2,1.67,1.61,27,0,1.83,1.76,2.14,2.01,0,3,1,1,2.64,2.93,3.57
E1,14/08/10,Derby,Cardiff,1,2,A,1,1,D,N Miller,10,11,5,5,10,3,7,6,2,0,0,0,2.5,3.2,2.88,2.3,3.2,2.75,2.4,3.25,2.75,2.3,3.1,2.6,2.3,3.4,3,2.5,3.2,2.55,2.5,3.2,2.88,2.25,3.4,2.88,2.38,3.25,3,2.4,3.3,2.88,39,2.52,2.39,3.4,3.23,3.02,2.85,32,2.14,2.04,1.84,1.72,25,0,1.83,1.72,2.16,2.05,3,1,1,1,2.28,3.61,3.51
E1,14/08/10,Doncaster,Bristol City,1,1,D,0,0,D,P Tierney,12,7,6,4,11,7,8,1,0,2,0,0,1.91,3.4,4,2.05,3.2,3.2,1.9,3.4,3.75,2,3.2,3.1,2,3.4,3.6,1.9,3.4,3.6,1.91,3.6,3.8,1.91,3.4,3.75,1.95,3.5,3.8,2,3.4,3.6,38,2,1.94,3.54,3.33,4.38,3.8,31,2.22,2.1,1.72,1.67,18,0,1.55,1.42,2.9,2.68,3,0,1,1,2.03,4.17,3.74
E1,14/08/10,Ipswich,Burnley,1,1,D,0,0,D,G Hegley,8,11,2,4,11,15,4,7,0,2,0,1,2.4,3.2,3,2.2,3.2,2.9,2.25,3.2,3,2.2,3.1,2.8,2.38,3.3,2.9,2.25,3.25,2.85,2.38,3.2,3,2.38,3.25,2.88,2.38,3.2,3,2.3,3.3,3,41,2.51,2.33,3.3,3.21,3.2,2.95,32,2.16,2.07,1.82,1.7,23,0,1.77,1.65,2.25,2.15,3,3,1,1,2.46,3.28,3.47
E1,14/08/10,Leicester,Middlesbrough,0,0,D,0,0,D,M Jones,13,12,10,5,9,9,15,5,2,3,0,0,2.38,3.25,3,2.45,3.2,2.55,2.4,3.25,2.75,2.2,3.1,2.8,2.5,3.3,2.8,2.4,3.2,2.7,2.4,3.25,2.9,2.38,3.2,2.88,2.38,3.2,3.1,2.4,3.25,2.9,38,2.5,2.4,3.3,3.21,3.12,2.85,29,2.31,2.18,1.7,1.61,24,0,1.77,1.7,2.22,2.08,0,0,1,1,2.40,3.38,3.48
E1,14/08/10,Millwall,Hull,4,0,H,2,0,H,A Penn,14,11,8,7,9,8,7,5,0,0,0,0,2.5,3.2,2.88,2.4,3.2,2.6,2.4,3.25,2.75,2.4,3.1,2.5,2.5,3.3,2.8,2.4,3.25,2.65,2.5,3.2,2.88,2.38,3.25,2.88,2.5,3.25,2.88,2.5,3.25,2.8,39,2.64,2.44,3.4,3.21,3,2.8,29,2.25,2.15,1.68,1.63,26,0,1.86,1.75,2.1,2.02,3,3,1,1,2.40,3.38,3.48
E1,14/08/10,Portsmouth,Reading,1,1,D,1,0,H,M Russell,8,11,3,3,13,5,5,5,0,0,0,0,2.75,3.2,2.6,2.5,3.2,2.5,2.6,3.1,2.6,2.45,3.1,2.45,2.5,3.3,2.8,2.55,3.2,2.5,2.7,3.25,2.6,2.5,3.4,2.63,2.75,3.2,2.62,2.62,3.25,2.6,40,2.8,2.64,3.4,3.2,2.75,2.58,34,2.09,1.98,1.87,1.77,27,0,2,1.88,1.97,1.87,0,0,1,1,2.40,3.38,3.48
E1,14/08/10,Scunthorpe,Norwich,0,1,A,0,0,D,C Sarginson,11,17,5,8,9,9,4,6,1,0,0,0,2.63,3.2,2.7,2.45,3.1,2.65,2.5,3.2,2.65,2.3,3.1,2.6,2.62,3.3,2.62,2.5,3.2,2.55,2.5,3.3,2.75,2.63,3.2,2.63,2.62,3.2,2.75,2.6,3.2,2.7,38,2.75,2.57,3.3,3.2,2.81,2.66,34,2,1.95,1.94,1.79,26,0,1.94,1.83,2.02,1.92,3,0,1,1,2.09,4.01,3.66
E1,14/08/10,Sheffield United,QPR,0,3,A,0,3,A,A Woolmer,8,10,4,6,10,14,8,6,2,3,0,0,2.25,3.25,3.2,2.25,3.3,2.75,2.25,3.2,3,2.1,3.1,3,2.25,3.25,3.25,2.2,3.25,2.95,2.3,3.3,3.1,2.3,3.25,3,2.25,3.2,3.3,2.25,3.3,3.1,38,2.3,2.25,3.35,3.23,3.43,3.07,28,2.25,2.15,1.73,1.63,18,0,1.65,1.59,2.38,2.21,1,3,1,1,2.56,3.10,3.50
