YEAR,HWPCT,AWPCT,DPCT
2018,0.48,0.19,0.34
2017,0.46,0.26,0.28
2016,0.49,0.22,0.29
2015,0.41,0.28,0.31
2014,0.45,0.24,0.30
2013,0.47,0.21,0.32
2012,0.44,0.28,0.28
2011,0.45,0.24,0.31
2010,0.47,0.29,0.24
