YEAR,HWPCT,AWPCT,DPCT
2018,0.46,0.21,0.34
2017,0.41,0.25,0.35
2016,0.41,0.25,0.33
2015,0.41,0.23,0.36
2014,0.45,0.19,0.36
2013,0.45,0.22,0.33
2012,0.39,0.32,0.29
2011,0.39,0.25,0.36
2010,0.41,0.21,0.37
