YEAR,HWPCT,AWPCT,DPCT
2018,0.43,0.29,0.27
2017,0.43,0.27,0.30
2016,0.47,0.24,0.29
2015,0.41,0.31,0.28
2014,0.41,0.29,0.30
2013,0.41,0.28,0.30
2012,0.45,0.26,0.29
2011,0.43,0.27,0.30
2010,0.45,0.27,0.29
